Time Stamp,ID,Extended,Remote Frame,DLC,D1,D2,D3,D4,D5,D6,D7,D8
10497,1005,0,0,6,0,0,0,0,0,255,0,0
10498,190,0,0,6,4,1,0,4,227,254,0,0
10499,193,0,0,8,0,0,0,0,0,0,0,0
10499,197,0,0,8,0,0,0,0,0,3,187,62
10510,241,0,0,6,52,7,0,65,241,252,0,0
10511,193,0,0,8,16,0,0,0,16,0,0,0
10512,197,0,0,8,16,0,0,0,16,3,187,62
10512,455,0,0,7,9,110,246,143,0,0,63,0
10523,460,0,0,5,0,0,0,0,0,0,0,0
10523,501,0,0,8,15,15,0,1,0,0,3,0
10524,510,0,0,8,6,110,143,1,0,0,129,83
10525,866,0,0,4,0,0,0,0,0,0,0,0
10535,170,0,0,8,41,211,49,104,2,78,151,0
10536,462,0,0,4,24,0,7,253,0,0,0,0
10536,241,0,0,6,52,7,0,65,241,252,0,0
10537,170,0,0,8,41,211,49,104,4,78,150,0
10548,190,0,0,6,4,1,0,4,227,254,0,0
10548,1001,0,0,8,0,0,0,0,0,0,0,0
10549,193,0,0,8,16,0,0,0,16,0,0,0
10550,197,0,0,8,16,0,0,0,16,3,187,62
10561,352,0,0,5,192,12,142,244,3,0,0,0
10561,193,0,0,8,32,0,0,0,32,0,0,0
10562,485,0,0,8,92,255,222,48,0,0,2,165
10563,298,0,0,8,16,226,112,92,0,0,16,149
10573,608,0,0,8,200,0,0,0,0,0,0,0
10574,481,0,0,7,0,0,0,0,2,24,208,0
10574,462,0,0,4,8,0,7,255,0,0,0,0
10585,510,0,0,8,6,110,143,1,0,0,193,91
10586,866,0,0,4,0,0,0,0,0,0,0,0
10586,241,0,0,6,0,7,0,65,241,255,0,0
10587,170,0,0,8,41,211,49,103,4,78,151,0
10598,190,0,0,6,4,1,0,4,227,254,0,0
10598,501,0,0,8,15,15,0,1,0,0,3,0
10599,193,0,0,8,32,0,0,0,32,0,0,0
10600,481,0,0,7,0,0,0,0,3,28,192,0
10611,197,0,0,8,32,0,0,0,32,3,187,62
10611,193,0,0,8,48,0,0,0,48,0,0,0
10612,241,0,0,6,40,6,0,65,243,253,0,0
10612,485,0,0,8,92,255,222,80,0,0,2,197
10623,499,0,0,3,128,160,0,0,0,0,0,0
10624,510,0,0,8,6,110,143,2,0,0,1,68
10624,866,0,0,4,0,0,0,0,0,0,0,0
10625,170,0,0,8,41,211,49,104,2,78,151,0
10636,190,0,0,6,0,1,0,4,227,255,0,0
10636,1105,0,0,6,0,0,0,0,255,0,0,0
10637,241,0,0,6,28,6,0,65,243,254,0,0
10637,170,0,0,8,41,211,49,104,4,78,150,0
10648,190,0,0,6,4,1,0,4,227,254,0,0
10649,193,0,0,8,48,0,0,0,48,0,0,0
10649,197,0,0,8,48,0,0,0,48,3,187,62
10650,241,0,0,6,40,7,0,65,241,253,0,0
10661,208,0,0,8,128,0,128,0,128,0,128,0
10662,197,0,0,8,0,0,0,0,0,3,187,62
10662,485,0,0,8,92,255,222,112,0,0,2,229
10673,481,0,0,7,0,0,0,0,1,20,224,0
10673,608,0,0,8,200,0,0,0,0,0,0,0
10674,844,0,0,8,234,148,31,249,3,243,0,0
10675,462,0,0,4,16,0,7,254,0,0,0,0
10685,510,0,0,8,6,110,143,1,0,0,65,75
10686,241,0,0,6,40,6,0,65,243,253,0,0
10686,170,0,0,8,41,211,49,104,4,78,150,0
10697,190,0,0,6,4,1,0,4,227,254,0,0
10698,201,0,0,8,0,0,0,39,0,0,24,0
10698,193,0,0,8,0,0,0,0,0,0,0,0
10699,197,0,0,8,0,0,0,0,0,3,187,62
10700,241,0,0,6,52,6,0,65,243,252,0,0
10711,193,0,0,8,16,0,0,0,16,0,0,0
10711,197,0,0,8,16,0,0,0,16,3,187,62
10712,455,0,0,7,9,110,118,145,0,0,63,0
10723,460,0,0,5,0,0,0,0,0,0,0,0
10723,170,0,0,8,41,211,49,104,0,78,152,0
10724,844,0,0,8,242,148,31,248,3,243,0,0
10724,510,0,0,8,6,110,143,1,0,0,129,83
10735,866,0,0,4,0,0,0,0,0,0,0,0
10736,462,0,0,4,8,0,7,255,0,0,0,0
10736,499,0,0,3,128,160,0,0,0,0,0,0
10737,241,0,0,6,52,7,0,65,241,252,0,0
10748,1005,0,0,6,0,0,0,0,0,255,0,0
10748,501,0,0,8,15,15,0,1,0,0,3,0
10749,1001,0,0,8,0,0,0,0,0,0,0,0
10750,193,0,0,8,16,0,0,0,16,0,0,0
10760,197,0,0,8,16,0,0,0,16,3,187,62
10761,193,0,0,8,32,0,0,0,32,0,0,0
10762,209,0,0,7,64,0,127,255,0,255,0,0
10762,489,0,0,8,0,0,0,14,175,249,0,0
10773,298,0,0,8,16,226,112,92,0,0,16,181
10774,501,0,0,8,15,15,0,1,0,0,3,0
10774,462,0,0,4,24,0,7,253,0,0,0,0
10775,510,0,0,8,6,110,143,2,0,0,193,92
10785,866,0,0,4,0,0,0,0,0,0,0,0
10786,241,0,0,6,0,7,0,65,241,255,0,0
10786,170,0,0,8,41,211,49,105,4,78,149,0
10787,190,0,0,6,4,1,0,4,227,254,0,0
10798,201,0,0,8,0,0,0,39,0,0,24,0
10799,241,0,0,6,28,7,0,65,241,254,0,0
10799,193,0,0,8,32,0,0,0,32,0,0,0
10800,197,0,0,8,32,0,0,0,32,3,187,62
10811,810,0,0,8,6,141,204,189,107,2,0,142
10812,197,0,0,8,48,0,0,0,48,3,187,62
10812,455,0,0,7,9,110,182,144,0,0,63,0
10823,460,0,0,5,0,0,0,0,0,0,0,0
10823,170,0,0,8,41,211,49,105,0,78,151,0
10824,510,0,0,8,6,110,143,1,0,0,1,67
10825,866,0,0,4,0,0,0,0,0,0,0,0
10835,170,0,0,8,41,211,49,105,2,78,150,0
10836,462,0,0,4,16,0,7,254,0,0,0,0
10837,241,0,0,6,28,6,0,65,243,254,0,0
10837,170,0,0,8,41,211,49,104,4,78,150,0
10848,190,0,0,6,4,2,0,4,227,253,0,0
10849,1001,0,0,8,0,0,0,0,0,0,0,0
10850,1017,0,0,8,0,0,0,0,79,0,232,66
10850,1020,0,0,8,72,24,112,163,155,0,163,155
10861,193,0,0,8,48,0,0,0,48,0,0,0
10862,241,0,0,6,52,7,0,65,241,252,0,0
10863,298,0,0,8,16,226,112,92,0,0,16,133
10874,608,0,0,8,200,0,0,0,0,0,0,0
10874,609,0,0,6,128,0,0,0,0,0,0,0
10875,501,0,0,8,15,15,0,1,0,0,3,0
10875,462,0,0,4,0,0,0,0,0,0,0,0
10876,309,0,0,8,0,0,8,86,98,13,26,50
10886,241,0,0,6,40,7,0,65,241,253,0,0
10887,170,0,0,8,41,211,49,104,4,78,150,0
10888,190,0,0,6,4,1,0,4,227,254,0,0
10898,201,0,0,8,0,0,0,39,0,0,24,0
10899,417,0,0,7,0,16,1,0,87,73,0,0
10900,193,0,0,8,0,0,0,0,0,0,0,0
10900,197,0,0,8,0,0,0,0,0,3,187,62
10901,481,0,0,7,0,0,0,0,1,20,224,0
10912,209,0,0,7,0,0,0,0,0,0,0,0
10912,460,0,0,5,0,0,0,0,0,0,0,0
10913,1322,0,0,6,33,36,55,84,92,90,0,0
10914,170,0,0,8,41,211,49,104,0,78,152,0
10924,190,0,0,6,12,1,0,4,227,252,0,0
10925,328,0,0,1,0,0,0,0,0,0,0,0
10925,1912,0,0,7,0,49,0,0,0,0,0,0
10936,510,0,0,8,6,94,143,2,0,0,129,68
10937,170,0,0,8,41,211,49,104,2,78,151,0
10937,241,0,0,6,52,7,0,65,241,252,0,0
10938,170,0,0,8,41,211,49,104,4,78,150,0
10949,190,0,0,6,4,1,0,4,227,254,0,0
10950,193,0,0,8,16,0,0,0,16,0,0,0
10950,197,0,0,8,16,0,0,0,16,3,187,62
10951,352,0,0,5,192,12,142,244,3,0,0,0
10962,208,0,0,8,128,0,128,0,128,0,128,0
10962,840,0,0,5,0,0,0,0,27,0,0,0
10963,298,0,0,8,16,226,112,92,0,0,16,149
10973,608,0,0,8,200,0,0,0,0,0,0,0
10974,609,0,0,6,128,0,0,0,0,0,0,0
10974,462,0,0,4,8,0,7,255,0,0,0,0
10975,510,0,0,8,6,110,143,1,0,0,193,91
10986,866,0,0,4,0,0,0,0,0,0,0,0
10986,241,0,0,6,0,6,0,65,243,255,0,0
10987,170,0,0,8,41,211,49,104,4,78,150,0
10987,1005,0,0,6,0,0,0,0,0,255,0,0
10998,190,0,0,6,4,1,0,4,227,254,0,0
10999,193,0,0,8,32,0,0,0,32,0,0,0
11000,197,0,0,8,32,0,0,0,32,3,187,62
11000,241,0,0,6,28,6,0,65,243,254,0,0
11011,209,0,0,7,64,0,127,255,0,255,0,0
11012,209,0,0,7,128,0,191,254,0,254,0,0
11012,840,0,0,5,0,0,0,0,27,0,0,0
11013,170,0,0,8,41,211,49,104,0,78,152,0
11023,190,0,0,6,12,1,0,4,227,252,0,0
11024,510,0,0,8,6,110,143,1,0,0,1,67
11025,866,0,0,4,0,0,0,0,0,0,0,0
11035,170,0,0,8,41,211,49,104,2,78,151,0
11036,190,0,0,6,0,1,0,4,227,255,0,0
11036,241,0,0,6,28,7,0,65,241,254,0,0
11037,170,0,0,8,41,211,49,104,4,78,150,0
11048,190,0,0,6,4,1,0,4,227,254,0,0
11049,985,0,0,5,2,0,0,0,0,0,0,0
11049,193,0,0,8,48,0,0,0,48,0,0,0
11050,197,0,0,8,48,0,0,0,48,3,187,62
11061,352,0,0,5,192,12,142,244,3,0,0,0
11061,197,0,0,8,0,0,0,0,0,3,187,62
11062,485,0,0,8,92,255,222,112,0,0,2,229
11062,840,0,0,5,0,0,0,0,27,0,0,0
11073,499,0,0,3,64,96,0,0,0,0,0,0
11074,309,0,0,8,0,0,8,86,98,13,26,50
11074,462,0,0,4,16,0,7,254,0,0,0,0
11075,510,0,0,8,6,110,143,2,0,0,65,76
11086,866,0,0,4,0,0,0,0,0,0,0,0
11086,1009,0,0,8,0,255,79,8,19,255,10,155
11087,241,0,0,6,40,6,0,65,243,253,0,0
11097,170,0,0,8,41,211,49,104,4,78,150,0
11098,190,0,0,6,4,1,0,4,227,254,0,0
11099,241,0,0,6,52,7,0,65,241,252,0,0
11099,193,0,0,8,0,0,0,0,0,0,0,0
11110,197,0,0,8,0,0,0,0,0,3,187,62
11111,193,0,0,8,16,0,0,0,16,0,0,0
11112,197,0,0,8,16,0,0,0,16,3,187,62
11112,485,0,0,8,92,255,222,16,0,0,2,133
11123,463,0,0,3,0,0,5,0,0,0,0,0
11123,844,0,0,8,242,148,31,248,3,243,0,0
11124,510,0,0,8,6,110,143,1,0,0,129,83
11124,866,0,0,4,0,0,0,0,0,0,0,0
11135,170,0,0,8,41,211,49,104,2,78,151,0
11136,241,0,0,6,52,7,0,65,241,252,0,0
11137,170,0,0,8,41,211,49,104,4,78,150,0
11137,190,0,0,6,4,1,0,4,227,254,0,0
11148,201,0,0,8,0,0,0,39,0,0,24,0
11149,1001,0,0,8,0,0,0,0,0,0,0,0
11149,193,0,0,8,16,0,0,0,16,0,0,0
11150,197,0,0,8,16,0,0,0,16,3,187,62
11161,352,0,0,5,192,12,142,244,3,0,0,0
11162,197,0,0,8,32,0,0,0,32,3,187,62
11162,489,0,0,8,0,0,0,14,175,248,0,0
11163,298,0,0,8,16,226,112,92,0,0,16,181
11173,608,0,0,8,200,0,0,0,0,0,0,0
11174,844,0,0,8,250,150,31,248,3,244,0,0
11175,462,0,0,4,24,0,7,253,0,0,0,0
11185,510,0,0,8,6,110,143,1,0,0,193,91
11186,866,0,0,4,0,0,0,0,0,0,0,0
11186,241,0,0,6,0,6,0,65,243,255,0,0
11187,170,0,0,8,41,211,49,104,4,78,150,0
11198,190,0,0,6,4,1,0,4,227,254,0,0
11198,241,0,0,6,28,7,0,65,241,254,0,0
11199,193,0,0,8,32,0,0,0,32,0,0,0
11200,197,0,0,8,32,0,0,0,32,3,187,62
11211,481,0,0,7,0,0,0,0,3,28,192,0
11211,193,0,0,8,48,0,0,0,48,0,0,0
11212,209,0,0,7,128,0,191,254,0,254,0,0
11212,460,0,0,5,0,0,0,0,0,0,0,0
11223,499,0,0,3,128,160,0,0,0,0,0,0
11224,510,0,0,8,6,110,143,1,0,0,1,67
11224,866,0,0,4,0,0,0,0,0,0,0,0
11225,170,0,0,8,41,211,49,104,2,78,151,0
11236,190,0,0,6,0,1,0,4,227,255,0,0
11236,241,0,0,6,28,7,0,65,241,254,0,0
11237,1005,0,0,6,0,0,0,0,0,255,0,0
11247,170,0,0,8,41,211,49,104,4,78,150,0
11248,190,0,0,6,4,2,0,4,227,253,0,0
11249,1001,0,0,8,0,0,0,0,0,0,0,0
11250,193,0,0,8,48,0,0,0,48,0,0,0
11260,197,0,0,8,48,0,0,0,48,3,187,62
11261,193,0,0,8,0,0,0,0,0,0,0,0
11262,298,0,0,8,16,226,112,92,0,0,16,133
11262,489,0,0,8,0,0,0,14,175,250,0,0
11273,481,0,0,7,0,0,0,0,1,20,224,0
11274,431,0,0,8,32,0,0,16,0,0,0,255
11274,462,0,0,4,0,0,0,0,0,0,0,0
11275,510,0,0,8,6,110,143,1,0,0,65,75
11285,866,0,0,4,0,0,0,0,0,0,0,0
11286,241,0,0,6,40,6,0,65,243,253,0,0
11286,170,0,0,8,41,211,49,104,4,78,150,0
11287,190,0,0,6,4,1,0,4,227,254,0,0
11298,201,0,0,8,0,0,0,39,0,0,24,0
11298,193,0,0,8,0,0,0,0,0,0,0,0
11299,197,0,0,8,0,0,0,0,0,3,187,62
11300,241,0,0,6,52,7,0,65,241,252,0,0
11311,209,0,0,7,192,0,255,253,0,253,0,0
11311,193,0,0,8,16,0,0,0,16,0,0,0
11312,455,0,0,7,9,110,246,143,0,0,63,0
11312,463,0,0,3,0,0,5,0,0,0,0,0
11323,170,0,0,8,41,211,49,104,0,78,152,0
11324,510,0,0,8,6,110,143,1,0,0,129,83
11324,866,0,0,4,0,0,0,0,0,0,0,0
11325,170,0,0,8,41,211,49,104,2,78,151,0
11336,190,0,0,6,0,1,0,4,227,255,0,0
11336,1009,0,0,8,0,255,79,8,19,255,10,155
11337,241,0,0,6,52,7,0,65,241,252,0,0
11348,170,0,0,8,41,211,49,104,4,78,150,0
11349,190,0,0,6,4,1,0,4,227,254,0,0
11349,1105,0,0,6,0,0,0,0,255,0,0,0
11350,1217,0,0,8,0,194,103,92,155,0,0,0
11361,193,0,0,8,16,0,0,0,16,0,0,0
11362,197,0,0,8,32,0,0,0,32,3,187,62
11362,489,0,0,8,0,0,0,14,175,249,0,0
11363,298,0,0,8,16,226,112,92,0,0,16,149
11374,608,0,0,8,200,0,0,0,0,0,0,0
11374,431,0,0,8,32,0,0,16,0,0,0,255
11375,462,0,0,4,8,0,7,255,0,0,0,0
11375,510,0,0,8,6,110,143,2,0,0,193,92
11386,866,0,0,4,0,0,0,0,0,0,0,0
11386,241,0,0,6,0,6,0,65,243,255,0,0
11387,170,0,0,8,41,211,49,104,4,78,150,0
11398,190,0,0,6,4,1,0,4,227,254,0,0
11399,201,0,0,8,0,0,0,39,0,0,24,0
11399,193,0,0,8,32,0,0,0,32,0,0,0
11400,810,0,0,8,6,141,204,189,107,2,0,142
11411,197,0,0,8,32,0,0,0,32,3,187,62
11411,197,0,0,8,48,0,0,0,48,3,187,62
11412,455,0,0,7,9,110,54,146,0,0,63,0
11412,840,0,0,5,0,0,0,0,27,0,0,0
11423,170,0,0,8,41,211,49,104,0,78,152,0
11424,510,0,0,8,6,110,143,1,0,0,1,67
11424,866,0,0,4,0,0,0,0,0,0,0,0
11425,170,0,0,8,41,211,49,104,2,78,151,0
11436,190,0,0,6,0,1,0,4,227,255,0,0
